country,population,med_age,main_city_by_pop
Mali,"23,293,698",15,Bamako
Taiwan,"23,923,276",42,Taipei
North Korea,"26,160,821",36,Pyongyang
Australia,"26,439,111",38,Sydney
Niger,"27,202,843",15,Niamey
Cameroon,"28,647,293",18,Douala
Venezuela,"28,838,499",28,Caracas
Côte d'Ivoire,"28,873,034",18,Abidjan
Madagascar,"30,325,732",19,Antananarivo
Nepal,"30,896,590",24,Kathmandu
Ghana,"34,121,985",21,Accra
Mozambique,"33,897,354",17,Maputo
Malaysia,"34,308,525",31,Kota Bharu
Yemen,"34,449,825",19,Sanaa
Peru,"34,352,719",29,Lima
Uzbekistan,"35,163,944",27,Tashkent
Angola,"36,684,202",16,Luanda
Ukraine,"36,744,634",45,Kyiv
Morocco,"37,840,044",29,Casablanca
Saudi Arabia,"36,947,025",31,Riyadh
Canada,"38,781,291",41,Toronto
Poland,"41,026,067",40,Warsaw
Afghanistan,"42,239,854",17,Kabul
Iraq,"45,504,560",20,Baghdad
Argentina,"45,773,884",32,Buenos Aires
Algeria,"45,606,480",28,Algiers
Sudan,"48,109,006",19,Khartoum
Spain,"47,519,628",45,Madrid
DR Congo,"102,262,808",16,Kinshasa
Egypt,"112,716,598",24,Cairo
Philippines,"117,337,368",25,Quezon City
Japan,"123,294,513",49,Tokyo
Mexico,"128,455,567",30,Mexico City
Ethiopia,"126,527,060",19,Addis Ababa
Bangladesh,"172,954,319",27,Dhaka
Brazil,"216,422,446",34,Sao Paulo
Russia,"144,444,359",39,Moscow
Nigeria,"223,804,632",17,Lagos
Pakistan,"240,485,658",21,Karachi
Indonesia,"277,534,122",30,Jakarta
China,"1,425,671,352",39,Shanghai
United States,"339,996,563",38,New York City
